ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural_Residence,Urban_Residence,Poorest_Wealth quintile,Second_Wealth quintile,Middle_Wealth quintile,Fourth_Wealth quintile,Richest_Wealth quintile,Data source,Time period
AFG,Afghanistan,SA,SA,Least Developed,58,73,43,63,45,70,64,64,54,40,DHS 2015,2015
ALB,Albania,ECA,EECA,More Developed,12,12,12,16,9,27,11,11,5,5,DHS 2017-18,2018
DZA,Algeria,MENA,MENA,Less Developed,25,23,28,33,21,40,29,24,20,12,MICS 2012-13,2013
AND,Andorra,ECA,WE,More Developed,,,,,,,,,,,,
AGO,Angola,SSA,ESA,Least Developed,29,35,21,53,19,58,50,27,17,9,DHS 2015-16,2016
AIA,Anguilla,LAC,LAC,Not Classified,,,,,,,,,,,,
ATG,Antigua and Barbuda,LAC,LAC,Less Developed,,,,,,,,,,,,
ARG,Argentina,LAC,LAC,Less Developed,13,12,13,,,24,17,11,7,2,MICS 2011-12,2012
ARM,Armenia,ECA,EECA,Less Developed,7,4,9,9,5,12,6,10,5,2,DHS 2015-16,2016
AUS,Australia,EAP,EAP,More Developed,,,,,,,,,,,,
AUT,Austria,ECA,WE,More Developed,,,,,,,,,,,,
AZE,Azerbaijan,ECA,EECA,Less Developed,,,,,,,,,,,,
BHS,Bahamas,LAC,LAC,Less Developed,,,,,,,,,,,,
BHR,Bahrain,MENA,MENA,Less Developed,,,,,,,,,,,,
BGD,Bangladesh,SA,SA,Least Developed,31,26,37,32,30,45,35,29,28,19,MICS 2019,2019
BRB,Barbados,LAC,LAC,Less Developed,1,1,0,1,0,0,1,0,1,1,MICS 2012,2012
BLR,Belarus,ECA,EECA,More Developed,1,2,1,1,1,0,3,0,0,3,MICS 2012,2012
BEL,Belgium,ECA,WE,More Developed,,,,,,,,,,,,
BLZ,Belize,LAC,LAC,Less Developed,33,35,30,38,24,54,43,40,13,7,MICS 2015-16,2016
BEN,Benin,SSA,WCA,Least Developed,58,66,50,65,50,82,73,61,48,36,DHS 2017-18,2018
BTN,Bhutan,SA,SA,Least Developed,39,40,39,44,27,55,53,42,27,24,MICS 2010,2010
BOL,Bolivia (Plurinational State of),LAC,LAC,Less Developed,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,ECA,EECA,More Developed,7,6,8,7,7,15,8,8,3,3,MICS 2011-12,2012
BWA,Botswana,SSA,ESA,Less Developed,32,28,36,46,26,,,,,,Botswana Demographic Survey 2017,2017
BRA,Brazil,LAC,LAC,Less Developed,8,7,8,12,7,12,8,7,4,1,PNAD 2019,2019
VGB,British Virgin Islands,LAC,LAC,Not Classified,,,,,,,,,,,,
BRN,Brunei Darussalam,EAP,EAP,Less Developed,,,,,,,,,,,,
BGR,Bulgaria,ECA,EECA,More Developed,,,,,,,,,,,,
BFA,Burkina Faso,SSA,WCA,Least Developed,74,79,69,83,54,90,87,81,74,53,DHS 2010,2010
BDI,Burundi,SSA,ESA,Least Developed,54,54,53,55,44,76,65,54,46,39,DHS 2016-17,2017
CPV,Cabo Verde,SSA,WCA,Less Developed,,,,,,,,,,,,
KHM,Cambodia,EAP,EAP,Least Developed,60,62,58,65,39,79,74,65,53,35,DHS 2014,2014
CMR,Cameroon,SSA,WCA,Less Developed,42,49,34,55,31,61,63,43,35,17,DHS 2018,2018
CAN,Canada,NA,NA,More Developed,,,,,,,,,,,,
CAF,Central African Republic,SSA,WCA,Least Developed,63,77,43,76,45,84,75,72,54,38,MICS 2010,2010
TCD,Chad,SSA,WCA,Least Developed,55,69,43,65,30,70,66,64,61,28,DHS 2014-15,2015
CHL,Chile,LAC,LAC,Less Developed,3,3,3,2,3,,,,,,CASEN 2017,2017
CHN,China,EAP,EAP,Less Developed,14,13,16,19,10,,,,,,National Population Sample Survey 2015,2015
COL,Colombia,LAC,LAC,Less Developed,16,16,17,26,13,29,21,14,10,5,DHS 2015,2015
COM,Comoros,SSA,ESA,Least Developed,27,29,25,30,21,45,36,24,20,17,DHS 2012,2012
COG,Congo,SSA,WCA,Less Developed,25,31,20,41,19,52,39,21,14,11,MICS 2014-15,2015
COK,Cook Islands,EAP,EAP,Less Developed,,,,,,,,,,,,
CRI,Costa Rica,LAC,LAC,Less Developed,9,8,11,11,9,20,10,3,4,9,MICS 2018,2018
CIV,Côte d'Ivoire,SSA,WCA,Less Developed,56,66,46,70,47,86,62,54,50,44,MICS 2016,2016
HRV,Croatia,ECA,EECA,More Developed,,,,,,,,,,,,
CUB,Cuba,LAC,LAC,Less Developed,,,,,,,,,,,,
CYP,Cyprus,ECA,WE,More Developed,,,,,,,,,,,,
CZE,Czechia,ECA,WE,More Developed,,,,,,,,,,,,
PRK,Democratic People's Republic of Korea,EAP,EAP,Less Developed,1,1,1,1,1,,,,,,MICS 2017,2017
COD,Democratic Republic of the Congo,SSA,WCA,Least Developed,29,33,24,36,21,44,34,29,26,14,MICS 2017-18,2018
DNK,Denmark,ECA,WE,More Developed,,,,,,,,,,,,
DJI,Djibouti,SSA,ESA,Least Developed,,,,,,,,,,,,
DMA,Dominica,LAC,LAC,Less Developed,,,,,,,,,,,,
DOM,Dominican Republic,LAC,LAC,Less Developed,16,14,18,19,14,29,20,13,10,6,MICS 2014,2014
ECU,Ecuador,LAC,LAC,Less Developed,15,15,15,20,12,,,,,,GEPH-ENEMDU-DICIEMBRE - 2019,2019
EGY,Egypt,MENA,MENA,Less Developed,24,27,21,27,18,33,28,23,25,7,DHS 2014,2014
SLV,El Salvador,LAC,LAC,Less Developed,35,35,35,49,25,61,46,33,20,8,MICS 2014,2014
